time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2024-03-30 02:26:13,-34.4415295969917,150.842426729788,0,Available with any HD 360 subscription,Available with any HD 360 subscription,60.873358903328,0.656168,0,0,0,13,4,0,60.873358903328,0,0,0,0,0,0,126.7, 13.2, 4.9,0,0,364,1684,364,364,-100,100,-100,-100,121.8,0,0,97,4.12,4.132,4.147,0,0,0,0,88.52,60.873358903328,0,41,Motors_Started,
100,2024-03-30 02:26:13,-34.4415295640711,150.842426752009,0,,,60.873358903328,0.656168,0,0.0137466539832,0.0137466539832,13,4,0,60.873358903328,0,0,0.0137466539832,0,0,0,127.1, 12.8, 5,0,0,364,1684,364,364,-100,100,-100,-100,122.2,0,0,97,4.12,4.132,4.147,0,0,0,0,88.52,60.873358903328,0,41,Motors_Started,
200,2024-03-30 02:26:13,-34.4415295645401,150.842426853117,0,,,60.873358903328,0.656168,0,0.038952100984,0.04416994892,13,4,0,60.873358903328,0,0,0.038952100984,0,0,0,127.8, 12.5, 4.3,0,0,364,1684,364,364,-100,100,-100,-100,122.5,0,0,97,4.12,4.132,4.147,0,0,0,0,88.52,60.873358903328,0,41,Motors_Started,
300,2024-03-30 02:26:13,-34.4415295181359,150.842426882642,0,,,60.873358903328,0.656168,0,0.054250001736,0.063289700188,13,4,0,60.873358903328,0,0,0.054250001736,0,0,0,127.2, 13, 4.7,0,0,364,1684,364,364,-100,100,-100,-100,122.6,0,0,97,4.12,4.132,4.147,0,0,0,0,88.52,60.873358903328,0,41,Motors_Started,
400,2024-03-30 02:26:14,-34.4415295282421,150.84242698862,0,,,60.873358903328,0.656168,0,0.081820540676,0.095390094916,13,4,0,60.873358903328,0,0,0.081820540676,0,0,0,128.2, 12.2, 3.5,0,0,364,1684,364,364,-100,100,-100,-100,123.6,0,0,97,4.12,4.132,4.147,0,0,0,0,88.52,60.873358903328,0,41,Motors_Started,
500,2024-03-30 02:26:14,-34.4415295015812,150.842427078464,0,,,60.873358903328,0.656168,0,0.110538389364,0.124120082712,13,4,0,60.873358903328,0,0,0.110538389364,0,0,-0.223694,125.9, 8.7, 0.5,0,0,364,1684,364,364,-100,100,-100,-100,122.3,0,0,97,4.12,4.132,4.147,0,0,0,0,88.52,60.873358903328,0,41,Motors_Started,
600,2024-03-30 02:26:14,-34.4415295345995,150.84242731031,0,,,60.873358903328,0.656168,0,0.176151908524,0.194913392064,13,4,0,60.873358903328,0,0,0.176151908524,0,0,-0.223694,122.3, 3, -1.8,0,0,364,1684,364,364,-100,100,-100,-100,119.5,0,0,97,4.12,4.132,4.147,0,0,0,0,88.52,60.873358903328,0,41,Motors_Started,
700,2024-03-30 02:26:14,-34.4415294903286,150.842427475099,0,,,60.873358903328,0.656168,0.223694,0.22760991542,0.247061687696,13,4,0,60.873358903328,0,0.223694,0.22760991542,0,-0.223694,0,123.1, 7.7, -3.7,0,0,508,1683,426,364,-78,100,-91,-100,119.8,0,0,97,4.12,4.132,4.147,0,0,0,0,88.52,60.873358903328,0,41,Motors_Started,"Setting new Return-To-Home altitude to 50m (164 ft). Data Recorder File Index is 118. Setting new Maximum Flight Altitude to 100m (328 ft)"
800,2024-03-30 02:26:14,-34.441529405249,150.842427576259,0,,,60.873358903328,0.656168,0.223694,0.264129601628,0.29053642662,13,4,0,60.873358903328,0,0.223694,0.264129601628,0,0,0.447388,125.1, 12.4, -0.3,0,0,508,1683,426,364,-78,100,-91,-100,120.9,0,0,97,4.12,4.132,4.147,0,0,0,0,88.52,60.873358903328,0,41,Motors_Started,
900,2024-03-30 02:26:14,-34.4415293633751,150.842427511608,0,,,60.873358903328,0.328084,0.223694,0.250209325592,0.315271335548,13,4,0,60.873358903328,0,0.223694,0.264129601628,0,0,0,125.4, 13, 3.5,0,0,1024,1024,615,364,0,0,-62,-100,121,0,0,97,4.12,4.132,4.147,0,0,0,0,88.52,60.873358903328,0,41,Motors_Started,
1000,2024-03-30 02:26:14,-34.4415294433285,150.842427496646,0,,,60.873358903328,0.656168,0,0.237455388176,0.34478675644,13,4,0,60.873358903328,0,0.223694,0.264129601628,0,0,0,124.5, 9.7, 4.5,0,0,1024,1024,1024,1009,0,0,0,-2,120.9,0,0,97,4.12,4.132,4.147,0,0,0,0,88.52,60.873358903328,0,41,Motors_Started,"Home Point Recorded. RTH Altitude:  50m."
1100,2024-03-30 02:26:14,-34.4415294425533,150.842427463982,0,,,60.873358903328,0.656168,0,0.227986555852,0.35461943392,13,4,0,60.873358903328,0,0.223694,0.264129601628,0,0,0,125.9, 8.2, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,123.3,0,0,97,4.12,4.132,4.147,0,0,0,0,88.52,60.873358903328,0,41,Motors_Started,
1200,2024-03-30 02:26:14,-34.4415294360786,150.842427592943,0,,,60.873358903328,0.328084,0,0.266270021644,0.39349410708,13,4,0,60.873358903328,0,0.223694,0.266270021644,0,0,0,127.3, 7.5, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,123.7,0,0,97,4.12,4.132,4.147,0,0,0,0,88.52,60.873358903328,0,6,P-GPS,
